  _                        
 / `_   _  _  /__/|   _  /_
/_,//_// //_ / // /_//_ /\ 

Reading a list of already known solutions for...
Done reading...
Starting from , steps = 100000
Result: 84 == +[->-<--]>- (11, 2, 1201)
Result: 170 == -[->-<--]>- (11, 2, 599)
Result: 128 == --[>-<--]>- (11, 2, 767)
Result: 170 == +[-->+<-]>- (11, 2, 1201)
Result: 84 == -[-->+<-]>- (11, 2, 599)
Result: 126 == --[->+<-]>- (11, 2, 767)
Result: 84 == +[-->-<-]>- (11, 2, 1201)
Result: 170 == -[-->-<-]>- (11, 2, 599)
Result: 128 == --[->-<-]>- (11, 2, 767)
Result: 84 == +[+++>+<]>- (11, 2, 599)
Result: 170 == -[+++>+<]>- (11, 2, 1201)
Result: 126 == ++[++>+<]>- (11, 2, 767)
Result: 170 == +[--->+<]>- (11, 2, 1201)
Result: 84 == -[--->+<]>- (11, 2, 599)
Result: 126 == --[-->+<]>- (11, 2, 767)
Result: 170 == +[+++>-<]>- (11, 2, 599)
Result: 84 == -[+++>-<]>- (11, 2, 1201)
Result: 128 == ++[++>-<]>- (11, 2, 767)
Result: 84 == +[--->-<]>- (11, 2, 1201)
Result: 170 == -[--->-<]>- (11, 2, 599)
Result: 128 == --[-->-<]>- (11, 2, 767)
Result: 170 == +[>++<+++]> (11, 2, 683)
Result: 86 == -[>++<+++]> (11, 2, 1371)
Result: 170 == ++[>+<+++]> (11, 2, 1194)
Result: 85 == >+[>+<+++]> (11, 3, 599)
Result: 86 == --[>+<+++]> (11, 2, 606)
Result: 171 == >-[>+<+++]> (11, 3, 1201)
Result: 86 == +[>--<+++]> (11, 2, 683)
Result: 170 == -[>--<+++]> (11, 2, 1371)
Result: 86 == ++[>-<+++]> (11, 2, 1194)
Result: 171 == >+[>-<+++]> (11, 3, 599)
Result: 170 == --[>-<+++]> (11, 2, 606)
Result: 85 == >-[>-<+++]> (11, 3, 1201)
Result: 170 == +[+>++<++]> (11, 2, 683)
Result: 86 == -[+>++<++]> (11, 2, 1371)
Result: 170 == ++[+>+<++]> (11, 2, 1194)
Result: 85 == >+[+>+<++]> (11, 3, 599)
Result: 86 == --[+>+<++]> (11, 2, 606)
Result: 171 == >-[+>+<++]> (11, 3, 1201)
Result: 127 == >++[>+<++]> (11, 3, 767)
Result: 86 == +[+>--<++]> (11, 2, 683)
Result: 170 == -[+>--<++]> (11, 2, 1371)
Result: 86 == ++[+>-<++]> (11, 2, 1194)
Result: 171 == >+[+>-<++]> (11, 3, 599)
Result: 170 == --[+>-<++]> (11, 2, 606)
Result: 85 == >-[+>-<++]> (11, 3, 1201)
Result: 129 == >++[>-<++]> (11, 3, 767)
Result: 170 == +[++>++<+]> (11, 2, 683)
Result: 86 == -[++>++<+]> (11, 2, 1371)
Result: 170 == ++[++>+<+]> (11, 2, 1194)
Result: 85 == >+[++>+<+]> (11, 3, 599)
Result: 86 == --[++>+<+]> (11, 2, 606)
Result: 171 == >-[++>+<+]> (11, 3, 1201)
Result: 127 == >++[+>+<+]> (11, 3, 767)
Result: 86 == +[++>--<+]> (11, 2, 683)
Result: 170 == -[++>--<+]> (11, 2, 1371)
Result: 86 == ++[++>-<+]> (11, 2, 1194)
Result: 171 == >+[++>-<+]> (11, 3, 599)
Result: 170 == --[++>-<+]> (11, 2, 606)
Result: 85 == >-[++>-<+]> (11, 3, 1201)
Result: 129 == >++[+>-<+]> (11, 3, 767)
Result: 86 == +[>++<---]> (11, 2, 1371)
Result: 170 == -[>++<---]> (11, 2, 683)
Result: 86 == ++[>+<---]> (11, 2, 606)
Result: 171 == >+[>+<---]> (11, 3, 1201)
Result: 170 == --[>+<---]> (11, 2, 1194)
Result: 85 == >-[>+<---]> (11, 3, 599)
Result: 170 == +[>--<---]> (11, 2, 1371)
Result: 86 == -[>--<---]> (11, 2, 683)
Result: 170 == ++[>-<---]> (11, 2, 606)
Result: 85 == >+[>-<---]> (11, 3, 1201)
Result: 86 == --[>-<---]> (11, 2, 1194)
Result: 171 == >-[>-<---]> (11, 3, 599)
Result: 86 == +[->++<--]> (11, 2, 1371)
Result: 170 == -[->++<--]> (11, 2, 683)
Result: 86 == ++[->+<--]> (11, 2, 606)
Result: 171 == >+[->+<--]> (11, 3, 1201)
Result: 170 == --[->+<--]> (11, 2, 1194)
Result: 85 == >-[->+<--]> (11, 3, 599)
Result: 127 == >--[>+<--]> (11, 3, 767)
Result: 170 == +[->--<--]> (11, 2, 1371)
Result: 86 == -[->--<--]> (11, 2, 683)
Result: 170 == ++[->-<--]> (11, 2, 606)
Result: 85 == >+[->-<--]> (11, 3, 1201)
Result: 86 == --[->-<--]> (11, 2, 1194)
Result: 171 == >-[->-<--]> (11, 3, 599)
Result: 129 == >--[>-<--]> (11, 3, 767)
Result: 86 == +[-->++<-]> (11, 2, 1371)
Result: 170 == -[-->++<-]> (11, 2, 683)
Result: 86 == ++[-->+<-]> (11, 2, 606)
Result: 171 == >+[-->+<-]> (11, 3, 1201)
Result: 170 == --[-->+<-]> (11, 2, 1194)
Result: 85 == >-[-->+<-]> (11, 3, 599)
Result: 127 == >--[->+<-]> (11, 3, 767)
Result: 170 == +[-->--<-]> (11, 2, 1371)
Result: 86 == -[-->--<-]> (11, 2, 683)
Result: 170 == ++[-->-<-]> (11, 2, 606)
Result: 85 == >+[-->-<-]> (11, 3, 1201)
Result: 86 == --[-->-<-]> (11, 2, 1194)
Result: 171 == >-[-->-<-]> (11, 3, 599)
Result: 129 == >--[->-<-]> (11, 3, 767)
Result: 170 == +[+++>++<]> (11, 2, 683)
Result: 86 == -[+++>++<]> (11, 2, 1371)
Result: 86 == +[--->++<]> (11, 2, 1371)
Result: 170 == -[--->++<]> (11, 2, 683)
Result: 170 == ++[+++>+<]> (11, 2, 1194)
Result: 85 == >+[+++>+<]> (11, 3, 599)
Result: 86 == --[+++>+<]> (11, 2, 606)
Result: 171 == >-[+++>+<]> (11, 3, 1201)
Result: 127 == >++[++>+<]> (11, 3, 767)
Result: 86 == ++[--->+<]> (11, 2, 606)
Result: 171 == >+[--->+<]> (11, 3, 1201)
Result: 170 == --[--->+<]> (11, 2, 1194)
Result: 85 == >-[--->+<]> (11, 3, 599)
Result: 127 == >--[-->+<]> (11, 3, 767)
Result: 86 == +[+++>--<]> (11, 2, 683)
Result: 170 == -[+++>--<]> (11, 2, 1371)
Result: 170 == +[--->--<]> (11, 2, 1371)
Result: 86 == -[--->--<]> (11, 2, 683)
Result: 86 == ++[+++>-<]> (11, 2, 1194)
Result: 171 == >+[+++>-<]> (11, 3, 599)
Result: 170 == --[+++>-<]> (11, 2, 606)
Result: 85 == >-[+++>-<]> (11, 3, 1201)
Result: 129 == >++[++>-<]> (11, 3, 767)
Result: 170 == ++[--->-<]> (11, 2, 606)
Result: 85 == >+[--->-<]> (11, 3, 1201)
Result: 86 == --[--->-<]> (11, 2, 1194)
Result: 171 == >-[--->-<]> (11, 3, 599)
Result: 129 == >--[-->-<]> (11, 3, 767)
Result: 12 == ++++++++++++ (12, 1, 12)
Result: 11 == >+++++++++++ (12, 2, 12)
Result: 10 == >>++++++++++ (12, 3, 12)
Result: 9 == >>>+++++++++ (12, 4, 12)
Result: 87 == +[>+<+++]>++ (12, 2, 600)
Result: 173 == -[>+<+++]>++ (12, 2, 1202)
Result: 173 == +[>-<+++]>++ (12, 2, 600)
Result: 87 == -[>-<+++]>++ (12, 2, 1202)
Result: 87 == +[+>+<++]>++ (12, 2, 600)
Result: 173 == -[+>+<++]>++ (12, 2, 1202)
Result: 173 == +[+>-<++]>++ (12, 2, 600)
Result: 87 == -[+>-<++]>++ (12, 2, 1202)
Result: 131 == ++[>-<++]>++ (12, 2, 768)
Result: 87 == +[++>+<+]>++ (12, 2, 600)
Result: 173 == -[++>+<+]>++ (12, 2, 1202)
Result: 173 == +[++>-<+]>++ (12, 2, 600)
Result: 87 == -[++>-<+]>++ (12, 2, 1202)
Result: 131 == ++[+>-<+]>++ (12, 2, 768)
Result: 173 == +[>+<---]>++ (12, 2, 1202)
Result: 87 == -[>+<---]>++ (12, 2, 600)
Result: 87 == +[>-<---]>++ (12, 2, 1202)
Result: 173 == -[>-<---]>++ (12, 2, 600)
Result: 173 == +[->+<--]>++ (12, 2, 1202)
Result: 87 == -[->+<--]>++ (12, 2, 600)
Result: 87 == +[->-<--]>++ (12, 2, 1202)
Result: 173 == -[->-<--]>++ (12, 2, 600)
Result: 131 == --[>-<--]>++ (12, 2, 768)
Result: 173 == +[-->+<-]>++ (12, 2, 1202)
Result: 87 == -[-->+<-]>++ (12, 2, 600)
Result: 87 == +[-->-<-]>++ (12, 2, 1202)
Result: 173 == -[-->-<-]>++ (12, 2, 600)
Result: 131 == --[->-<-]>++ (12, 2, 768)
Result: 87 == +[+++>+<]>++ (12, 2, 600)
Result: 173 == -[+++>+<]>++ (12, 2, 1202)
Result: 173 == +[--->+<]>++ (12, 2, 1202)
Result: 87 == -[--->+<]>++ (12, 2, 600)
Result: 173 == +[+++>-<]>++ (12, 2, 600)
Result: 87 == -[+++>-<]>++ (12, 2, 1202)
Result: 131 == ++[++>-<]>++ (12, 2, 768)
Result: 87 == +[--->-<]>++ (12, 2, 1202)
Result: 173 == -[--->-<]>++ (12, 2, 600)
Result: 131 == --[-->-<]>++ (12, 2, 768)
Result: 87 == -[>++<+++]>+ (12, 2, 1372)
Result: 86 == >+[>+<+++]>+ (12, 3, 600)
Result: 87 == --[>+<+++]>+ (12, 2, 607)
Result: 172 == >-[>+<+++]>+ (12, 3, 1202)
Result: 87 == +[>--<+++]>+ (12, 2, 684)
Result: 87 == ++[>-<+++]>+ (12, 2, 1195)
Result: 172 == >+[>-<+++]>+ (12, 3, 600)
Result: 86 == >-[>-<+++]>+ (12, 3, 1202)
Result: 87 == -[+>++<++]>+ (12, 2, 1372)
Result: 86 == >+[+>+<++]>+ (12, 3, 600)
Result: 87 == --[+>+<++]>+ (12, 2, 607)
Result: 172 == >-[+>+<++]>+ (12, 3, 1202)
Result: 128 == >++[>+<++]>+ (12, 3, 768)
Result: 87 == +[+>--<++]>+ (12, 2, 684)
Result: 87 == ++[+>-<++]>+ (12, 2, 1195)
Result: 172 == >+[+>-<++]>+ (12, 3, 600)
Result: 86 == >-[+>-<++]>+ (12, 3, 1202)
Result: 130 == >++[>-<++]>+ (12, 3, 768)
Result: 87 == -[++>++<+]>+ (12, 2, 1372)
Result: 86 == >+[++>+<+]>+ (12, 3, 600)
Result: 87 == --[++>+<+]>+ (12, 2, 607)
Result: 172 == >-[++>+<+]>+ (12, 3, 1202)
Result: 128 == >++[+>+<+]>+ (12, 3, 768)
Result: 87 == +[++>--<+]>+ (12, 2, 684)
Result: 87 == ++[++>-<+]>+ (12, 2, 1195)
Result: 172 == >+[++>-<+]>+ (12, 3, 600)
Result: 86 == >-[++>-<+]>+ (12, 3, 1202)
Result: 130 == >++[+>-<+]>+ (12, 3, 768)
Result: 87 == +[>++<---]>+ (12, 2, 1372)
Result: 87 == ++[>+<---]>+ (12, 2, 607)
Result: 172 == >+[>+<---]>+ (12, 3, 1202)
Result: 86 == >-[>+<---]>+ (12, 3, 600)
Result: 87 == -[>--<---]>+ (12, 2, 684)
Result: 86 == >+[>-<---]>+ (12, 3, 1202)
Result: 87 == --[>-<---]>+ (12, 2, 1195)
Result: 172 == >-[>-<---]>+ (12, 3, 600)
Result: 87 == +[->++<--]>+ (12, 2, 1372)
Result: 87 == ++[->+<--]>+ (12, 2, 607)
Result: 172 == >+[->+<--]>+ (12, 3, 1202)
Result: 86 == >-[->+<--]>+ (12, 3, 600)
Result: 128 == >--[>+<--]>+ (12, 3, 768)
Result: 87 == -[->--<--]>+ (12, 2, 684)
Result: 86 == >+[->-<--]>+ (12, 3, 1202)
Result: 87 == --[->-<--]>+ (12, 2, 1195)
Result: 172 == >-[->-<--]>+ (12, 3, 600)
Result: 130 == >--[>-<--]>+ (12, 3, 768)
Result: 87 == +[-->++<-]>+ (12, 2, 1372)
Result: 87 == ++[-->+<-]>+ (12, 2, 607)
Result: 172 == >+[-->+<-]>+ (12, 3, 1202)
Result: 86 == >-[-->+<-]>+ (12, 3, 600)
Result: 128 == >--[->+<-]>+ (12, 3, 768)
Result: 87 == -[-->--<-]>+ (12, 2, 684)
Result: 86 == >+[-->-<-]>+ (12, 3, 1202)
Result: 87 == --[-->-<-]>+ (12, 2, 1195)
Result: 172 == >-[-->-<-]>+ (12, 3, 600)
Result: 130 == >--[->-<-]>+ (12, 3, 768)
Result: 87 == -[+++>++<]>+ (12, 2, 1372)
Result: 87 == +[--->++<]>+ (12, 2, 1372)
Result: 86 == >+[+++>+<]>+ (12, 3, 600)
Result: 87 == --[+++>+<]>+ (12, 2, 607)
Result: 172 == >-[+++>+<]>+ (12, 3, 1202)
Result: 128 == >++[++>+<]>+ (12, 3, 768)
Result: 87 == ++[--->+<]>+ (12, 2, 607)
Result: 172 == >+[--->+<]>+ (12, 3, 1202)
Result: 86 == >-[--->+<]>+ (12, 3, 600)
Result: 128 == >--[-->+<]>+ (12, 3, 768)
Result: 87 == +[+++>--<]>+ (12, 2, 684)
Result: 87 == -[--->--<]>+ (12, 2, 684)
Result: 87 == ++[+++>-<]>+ (12, 2, 1195)
Result: 172 == >+[+++>-<]>+ (12, 3, 600)
Result: 86 == >-[+++>-<]>+ (12, 3, 1202)
Result: 130 == >++[++>-<]>+ (12, 3, 768)
Result: 86 == >+[--->-<]>+ (12, 3, 1202)
Result: 87 == --[--->-<]>+ (12, 2, 1195)
Result: 172 == >-[--->-<]>+ (12, 3, 600)
Result: 130 == >--[-->-<]>+ (12, 3, 768)
Result: 244 == ------------ (12, 1, 12)
Result: 245 == >----------- (12, 2, 12)
Result: 246 == >>---------- (12, 3, 12)
Result: 247 == >>>--------- (12, 4, 12)
Result: 83 == +[>+<+++]>-- (12, 2, 600)
Result: 169 == -[>+<+++]>-- (12, 2, 1202)
Result: 169 == +[>-<+++]>-- (12, 2, 600)
Result: 83 == -[>-<+++]>-- (12, 2, 1202)
Result: 83 == +[+>+<++]>-- (12, 2, 600)
Result: 169 == -[+>+<++]>-- (12, 2, 1202)
Result: 125 == ++[>+<++]>-- (12, 2, 768)
Result: 169 == +[+>-<++]>-- (12, 2, 600)
Result: 83 == -[+>-<++]>-- (12, 2, 1202)
Result: 83 == +[++>+<+]>-- (12, 2, 600)
Result: 169 == -[++>+<+]>-- (12, 2, 1202)
Result: 125 == ++[+>+<+]>-- (12, 2, 768)
Result: 169 == +[++>-<+]>-- (12, 2, 600)
Result: 83 == -[++>-<+]>-- (12, 2, 1202)
Result: 169 == +[>+<---]>-- (12, 2, 1202)
Result: 83 == -[>+<---]>-- (12, 2, 600)
Result: 83 == +[>-<---]>-- (12, 2, 1202)
Result: 169 == -[>-<---]>-- (12, 2, 600)
Result: 169 == +[->+<--]>-- (12, 2, 1202)
Result: 83 == -[->+<--]>-- (12, 2, 600)
Result: 125 == --[>+<--]>-- (12, 2, 768)
Result: 83 == +[->-<--]>-- (12, 2, 1202)
Result: 169 == -[->-<--]>-- (12, 2, 600)
Result: 169 == +[-->+<-]>-- (12, 2, 1202)
Result: 83 == -[-->+<-]>-- (12, 2, 600)
Result: 125 == --[->+<-]>-- (12, 2, 768)
Result: 83 == +[-->-<-]>-- (12, 2, 1202)
Result: 169 == -[-->-<-]>-- (12, 2, 600)
Result: 83 == +[+++>+<]>-- (12, 2, 600)
Result: 169 == -[+++>+<]>-- (12, 2, 1202)
Result: 125 == ++[++>+<]>-- (12, 2, 768)
Result: 169 == +[--->+<]>-- (12, 2, 1202)
Result: 83 == -[--->+<]>-- (12, 2, 600)
Result: 125 == --[-->+<]>-- (12, 2, 768)
Result: 169 == +[+++>-<]>-- (12, 2, 600)
Result: 83 == -[+++>-<]>-- (12, 2, 1202)
Result: 83 == +[--->-<]>-- (12, 2, 1202)
Result: 169 == -[--->-<]>-- (12, 2, 600)
Result: 169 == +[>++<+++]>- (12, 2, 684)
Result: 169 == ++[>+<+++]>- (12, 2, 1195)
Result: 84 == >+[>+<+++]>- (12, 3, 600)
Result: 170 == >-[>+<+++]>- (12, 3, 1202)
Result: 169 == -[>--<+++]>- (12, 2, 1372)
Result: 170 == >+[>-<+++]>- (12, 3, 600)
Result: 169 == --[>-<+++]>- (12, 2, 607)
Result: 84 == >-[>-<+++]>- (12, 3, 1202)
Result: 169 == +[+>++<++]>- (12, 2, 684)
Result: 169 == ++[+>+<++]>- (12, 2, 1195)
Result: 84 == >+[+>+<++]>- (12, 3, 600)
Result: 170 == >-[+>+<++]>- (12, 3, 1202)
Result: 126 == >++[>+<++]>- (12, 3, 768)
Result: 169 == -[+>--<++]>- (12, 2, 1372)
Result: 170 == >+[+>-<++]>- (12, 3, 600)
Result: 169 == --[+>-<++]>- (12, 2, 607)
Result: 84 == >-[+>-<++]>- (12, 3, 1202)
Result: 128 == >++[>-<++]>- (12, 3, 768)
Result: 169 == +[++>++<+]>- (12, 2, 684)
Result: 169 == ++[++>+<+]>- (12, 2, 1195)
Result: 84 == >+[++>+<+]>- (12, 3, 600)
Result: 170 == >-[++>+<+]>- (12, 3, 1202)
Result: 126 == >++[+>+<+]>- (12, 3, 768)
Result: 169 == -[++>--<+]>- (12, 2, 1372)
Result: 170 == >+[++>-<+]>- (12, 3, 600)
Result: 169 == --[++>-<+]>- (12, 2, 607)
Result: 84 == >-[++>-<+]>- (12, 3, 1202)
Result: 128 == >++[+>-<+]>- (12, 3, 768)
Result: 169 == -[>++<---]>- (12, 2, 684)
Result: 170 == >+[>+<---]>- (12, 3, 1202)
Result: 169 == --[>+<---]>- (12, 2, 1195)
Result: 84 == >-[>+<---]>- (12, 3, 600)
Result: 169 == +[>--<---]>- (12, 2, 1372)
Result: 169 == ++[>-<---]>- (12, 2, 607)
Result: 84 == >+[>-<---]>- (12, 3, 1202)
Result: 170 == >-[>-<---]>- (12, 3, 600)
Result: 169 == -[->++<--]>- (12, 2, 684)
Result: 170 == >+[->+<--]>- (12, 3, 1202)
Result: 169 == --[->+<--]>- (12, 2, 1195)
Result: 84 == >-[->+<--]>- (12, 3, 600)
Result: 126 == >--[>+<--]>- (12, 3, 768)
Result: 169 == +[->--<--]>- (12, 2, 1372)
Result: 169 == ++[->-<--]>- (12, 2, 607)
Result: 84 == >+[->-<--]>- (12, 3, 1202)
Result: 170 == >-[->-<--]>- (12, 3, 600)
Result: 128 == >--[>-<--]>- (12, 3, 768)
Result: 169 == -[-->++<-]>- (12, 2, 684)
Result: 170 == >+[-->+<-]>- (12, 3, 1202)
Result: 169 == --[-->+<-]>- (12, 2, 1195)
Result: 84 == >-[-->+<-]>- (12, 3, 600)
Result: 126 == >--[->+<-]>- (12, 3, 768)
Result: 169 == +[-->--<-]>- (12, 2, 1372)
Result: 169 == ++[-->-<-]>- (12, 2, 607)
Result: 84 == >+[-->-<-]>- (12, 3, 1202)
Result: 170 == >-[-->-<-]>- (12, 3, 600)
Result: 128 == >--[->-<-]>- (12, 3, 768)
Result: 169 == +[+++>++<]>- (12, 2, 684)
Result: 169 == -[--->++<]>- (12, 2, 684)
Result: 169 == ++[+++>+<]>- (12, 2, 1195)
Result: 84 == >+[+++>+<]>- (12, 3, 600)
Result: 170 == >-[+++>+<]>- (12, 3, 1202)
Result: 126 == >++[++>+<]>- (12, 3, 768)
Result: 170 == >+[--->+<]>- (12, 3, 1202)
Result: 169 == --[--->+<]>- (12, 2, 1195)
Result: 84 == >-[--->+<]>- (12, 3, 600)
Result: 126 == >--[-->+<]>- (12, 3, 768)
Result: 169 == -[+++>--<]>- (12, 2, 1372)
Result: 169 == +[--->--<]>- (12, 2, 1372)
Result: 170 == >+[+++>-<]>- (12, 3, 600)
Result: 169 == --[+++>-<]>- (12, 2, 607)
Result: 84 == >-[+++>-<]>- (12, 3, 1202)
Result: 128 == >++[++>-<]>- (12, 3, 768)
Result: 169 == ++[--->-<]>- (12, 2, 607)
Result: 84 == >+[--->-<]>- (12, 3, 1202)
Result: 170 == >-[--->-<]>- (12, 3, 600)
Result: 128 == >--[-->-<]>- (12, 3, 768)
Result: 51 == +[>+<+++++]> (12, 2, 462)
Result: 205 == -[>+<+++++]> (12, 2, 1848)
Result: 205 == +[>-<+++++]> (12, 2, 462)
Result: 51 == -[>-<+++++]> (12, 2, 1848)
Result: 51 == +[+>+<++++]> (12, 2, 462)
Result: 205 == -[+>+<++++]> (12, 2, 1848)
Result: 205 == +[+>-<++++]> (12, 2, 462)
Result: 51 == -[+>-<++++]> (12, 2, 1848)
Result: 170 == >+[>++<+++]> (12, 3, 684)
Result: 86 == >-[>++<+++]> (12, 3, 1372)
Result: 51 == +[++>+<+++]> (12, 2, 462)
Result: 205 == -[++>+<+++]> (12, 2, 1848)
Result: 170 == >++[>+<+++]> (12, 3, 1195)
Result: 85 == >>+[>+<+++]> (12, 4, 600)
Result: 86 == >--[>+<+++]> (12, 3, 607)
Result: 171 == >>-[>+<+++]> (12, 4, 1202)
Result: 86 == >+[>--<+++]> (12, 3, 684)
Result: 170 == >-[>--<+++]> (12, 3, 1372)
Result: 205 == +[++>-<+++]> (12, 2, 462)
